0.000000000000000000e+00 4.640000000000000000e+02 5.860000000000000000e+02
1.000000000000000000e+00 4.500000000000000000e+02 5.680000000000000000e+02
2.000000000000000000e+00 4.360000000000000000e+02 5.520000000000000000e+02
3.000000000000000000e+00 4.200000000000000000e+02 5.300000000000000000e+02
4.000000000000000000e+00 4.020000000000000000e+02 5.240000000000000000e+02
5.000000000000000000e+00 3.940000000000000000e+02 5.180000000000000000e+02
6.000000000000000000e+00 3.800000000000000000e+02 5.100000000000000000e+02
7.000000000000000000e+00 3.660000000000000000e+02 5.020000000000000000e+02
8.000000000000000000e+00 3.540000000000000000e+02 5.000000000000000000e+02
9.000000000000000000e+00 3.420000000000000000e+02 4.980000000000000000e+02
1.000000000000000000e+01 3.260000000000000000e+02 5.000000000000000000e+02
1.100000000000000000e+01 3.180000000000000000e+02 5.020000000000000000e+02
1.200000000000000000e+01 3.040000000000000000e+02 5.060000000000000000e+02
1.300000000000000000e+01 2.920000000000000000e+02 5.120000000000000000e+02
1.400000000000000000e+01 2.940000000000000000e+02 5.140000000000000000e+02
1.500000000000000000e+01 3.520000000000000000e+02 5.060000000000000000e+02
1.600000000000000000e+01 4.220000000000000000e+02 4.960000000000000000e+02
1.700000000000000000e+01 4.960000000000000000e+02 4.880000000000000000e+02
1.800000000000000000e+01 5.660000000000000000e+02 4.840000000000000000e+02
1.900000000000000000e+01 6.420000000000000000e+02 4.780000000000000000e+02
2.000000000000000000e+01 7.240000000000000000e+02 4.780000000000000000e+02
2.100000000000000000e+01 8.100000000000000000e+02 4.740000000000000000e+02
2.200000000000000000e+01 9.000000000000000000e+02 4.760000000000000000e+02
2.300000000000000000e+01 9.980000000000000000e+02 4.780000000000000000e+02
2.400000000000000000e+01 1.096000000000000000e+03 4.820000000000000000e+02
2.500000000000000000e+01 1.204000000000000000e+03 4.940000000000000000e+02
2.600000000000000000e+01 1.324000000000000000e+03 5.060000000000000000e+02
2.700000000000000000e+01 1.454000000000000000e+03 5.200000000000000000e+02
2.800000000000000000e+01 1.600000000000000000e+03 5.320000000000000000e+02
2.900000000000000000e+01 1.756000000000000000e+03 5.560000000000000000e+02
1.010000000000000000e+02 1.680000000000000000e+03 3.200000000000000000e+01
1.020000000000000000e+02 1.594000000000000000e+03 7.000000000000000000e+01
1.030000000000000000e+02 1.500000000000000000e+03 1.180000000000000000e+02
1.040000000000000000e+02 1.414000000000000000e+03 1.580000000000000000e+02
1.050000000000000000e+02 1.334000000000000000e+03 2.040000000000000000e+02
1.060000000000000000e+02 1.260000000000000000e+03 2.520000000000000000e+02
1.070000000000000000e+02 1.184000000000000000e+03 2.980000000000000000e+02
1.080000000000000000e+02 1.118000000000000000e+03 3.440000000000000000e+02
1.090000000000000000e+02 1.060000000000000000e+03 3.900000000000000000e+02
1.100000000000000000e+02 9.960000000000000000e+02 4.320000000000000000e+02
1.110000000000000000e+02 9.400000000000000000e+02 4.820000000000000000e+02
1.120000000000000000e+02 8.820000000000000000e+02 5.320000000000000000e+02
1.130000000000000000e+02 8.280000000000000000e+02 5.760000000000000000e+02
1.140000000000000000e+02 7.800000000000000000e+02 6.340000000000000000e+02
1.150000000000000000e+02 7.220000000000000000e+02 6.800000000000000000e+02
1.160000000000000000e+02 6.760000000000000000e+02 7.300000000000000000e+02
